WP-00790,,PMMA0.1ppm,PMMA0.5ppm,PMMA1ppm,PMMA5ppm,PMMA10pmm,PMMA50ppm,PMMA100ppm,PMMA200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
810.54,400.6,0,0,0,11.54,4.58,49.37,184.48,301.15
810.68,402.75,0,0,0,0,4.58,44.07,153.71,310.17
810.82,404.91,0,0,0,0,0,36.75,118.06,270.47
810.96,407.06,0,0,0,0,0,47.09,109.87,276.71
811.1,409.21,0,0,0,0,0,40.76,111.03,253.79
811.24,411.36,0,0,0,0,0,33.56,100.88,286.38
811.38,413.51,0,0,0,0,0,39.84,104.97,285.73
811.53,415.66,0,0,0,0,0,127.06,111.2,345.38
811.67,417.81,0,0,0,0,0,184.64,98.46,373.91
811.81,419.96,0,0,0,0,0,225.51,64.42,370.66
811.95,422.11,0,0,0,0,0,205.21,46.64,330.85
812.09,424.25,0,0,0,0,0,190.66,52.67,326.04
812.23,426.4,0,0,0,0,0,219.76,103.08,367.48
812.38,428.54,0,0,0,0,0,253.51,108.2,393.49
812.52,430.68,0,0,0,0,0,287.47,110.26,409.98
812.66,432.82,0,0,0,0,0,309.67,115.59,420.28
812.8,434.97,0,0,0,0,0,318.44,118.2,437.74
812.94,437.11,0,0,0,0,0,290.34,86.79,397.92
813.08,439.24,0,0,0,0,0,240.73,28.36,311.83
813.22,441.38,0,0,0,0,0,169.94,0,200.8
813.36,443.52,0,0,0,0,0,141.31,0,154.85
813.51,445.65,0,0,0,0,0,141.09,0,203.2
813.65,447.79,0,0,0,0,0,216.49,50.14,286.75
813.79,449.92,0,0,0,0,0,269.2,55.59,357.18
813.93,452.05,0,0,0,0,0,288.67,55.59,322.6
814.07,454.19,0,0,0,0,0,272.79,5.45,261.91
814.21,456.32,0,0,0,0,0,275.37,0,205.88
814.35,458.45,0,0,0,0,0,287.73,0,220.21
814.49,460.57,0,0,0,0,0,246.22,0,223.89
814.64,462.7,0,0,0,0,0,184.07,0,152.82
814.78,464.83,0,0,0,0,0,141.52,0,89.22
814.92,466.95,0,0,0,0,0,178.68,0,69.89
815.06,469.08,0,0,0,0,0,266.34,0,135.6
815.2,471.2,0,0,0,0,0,295.62,0,164.48
815.34,473.32,0,0,0,0,0,314.75,0,201.43
815.48,475.45,0,0,0,0,0,349.18,0,244.88
815.62,477.57,0,0,0,0,0,431.38,0,350.29
815.76,479.69,0,0,0,0,0,457.33,0,361.34
815.91,481.8,0,0,0,0,0,412.96,0,300.92
816.05,483.92,0,0,0,4.19,0,303.36,0,144.45
816.19,486.04,0,0,0,4.19,0,165.34,0,50.11
816.33,488.15,0,0,0,32.72,0,117.9,0,2.88
816.47,490.27,0,0,0,52.83,0,165.37,0,74.13
816.61,492.38,0,0,0,70.81,0,329.89,0,178.91
816.75,494.49,0,0,0,54.53,0,384.34,0,234.14
816.89,496.61,0,0,0,41.01,0,436.07,0,242.51
817.03,498.72,0,0,0,43.79,0,492.31,6.32,286.9
817.17,500.83,0,0,0,87.33,0,645.51,57.27,446.11
817.31,502.93,0,0,0,142.63,0,708.01,66.14,548.79
817.46,505.04,0,0,0,128.02,0,661.83,59.83,453.63
817.6,507.15,0,0,0,72.22,0,446.85,8.87,236.31
817.74,509.25,0,0,0,6.15,0,312.76,0,54.01
817.88,511.36,0,0,0,0.04,0,256.11,0,0
818.02,513.46,0,0,0,0.04,0,369.81,0,88.29
818.16,515.56,0,0,0,20.98,0,437.97,0,167.25
818.3,517.66,0,0,0,48.38,15.72,524.93,9.86,295.5
818.44,519.76,0,0,0,85.8,16.39,565.37,9.86,328.15
818.58,521.86,0,0,0,143.4,16.39,603.41,9.86,357.56
818.72,523.96,0,0,0,179.43,1.64,552.16,0,333.18
818.86,526.06,0,0,0,187.13,15.82,543.19,0,340.23
819,528.16,0,0,0,178.7,38.26,552.06,0,328.29
819.14,530.25,0,0,0,215.6,37.3,584.56,0,322.45
819.28,532.35,0,3.04,0,272.5,51.21,552.69,0,270.41
819.42,534.44,0,3.04,0,312.17,41.51,524.91,0,290.93
819.57,536.53,0,25.48,0,341.4,47.57,501.66,0,287.81
819.71,538.62,0,27.71,0,362.18,36.21,452.96,0,255.71
819.85,540.71,0,33.67,0,341.51,51.69,457.48,0,228.97
819.99,542.8,0,34.2,34.92,339.63,98.9,547.45,24.32,295.83
820.13,544.89,0,115.21,95.02,448.75,177.07,748.1,117.2,488.17
820.27,546.98,0,169.03,168.76,533.21,257.18,941.43,227.84,715.34
820.41,549.06,0,215.78,235.91,602.79,319.7,1078.9,338.97,900.45
820.55,551.15,0,222.46,262.46,558.48,304.95,1140.51,368.97,993.51
820.69,553.23,0,234.5,289.19,533.41,288.04,1127.05,368.59,977.63
820.83,555.32,0,245.8,252,501.45,264.21,1047.08,314.75,909.37
820.97,557.4,0,227.68,228.2,429.29,277.44,957.28,279.44,812.41
821.11,559.48,0,225.27,198.6,406.03,224.19,856.42,220.76,708.19
821.25,561.56,0,221.78,191.4,372.23,216.02,812.08,207.29,629.94
821.39,563.64,0,211.87,235.94,380.56,196.92,809.25,190.36,624.01
821.53,565.72,0,235.32,233.67,420.45,243.34,829.06,235.41,659.5
821.67,567.8,0,220.81,218.92,398.59,221.61,811.85,241.77,649.42
821.81,569.87,0,228.43,179.47,445.42,230.52,765.73,238.24,581.23
821.95,571.95,0,205.41,171.22,383.16,192.28,698.6,174.02,472.47
822.09,574.02,0,221.76,181.49,402.81,210.57,664.13,118.13,400.16
822.23,576.09,0,233.69,154.18,306.6,182.61,598.22,51.03,340.86
822.37,578.17,41.95,231.2,151.62,309.52,176.73,501.21,18.61,217.24
822.51,580.24,41.95,181.73,98.42,274.36,96.39,285.98,0,99.25
822.65,582.31,41.95,117.4,57.78,274.89,40.49,108.45,0,0.39
822.79,584.38,0,105.1,0,222.68,0,0,0,0
822.93,586.45,0,138.7,0,221.28,5.57,0,0,0
823.07,588.51,0,198.67,0,238.47,8.87,3.45,0,0
823.21,590.58,0.8,217.54,24.12,281.47,30.71,78.79,0,42.05
823.35,592.64,0.8,196.77,35.59,291.06,84.11,272.56,2.1,143.06
823.49,594.71,0.8,188.8,35.59,323.36,149.17,480.18,43.23,331.92
823.63,596.77,0,165.74,83.07,344.14,235.32,683.42,119.7,557.84
823.77,598.83,6.43,170.26,122.98,368.41,273.23,743.62,186.38,692.48
823.91,600.89,39.58,152.35,133.73,356.5,278.24,769.78,215.29,752.85
824.05,602.95,69.63,134.57,120.73,344.3,229.9,712.14,227.67,676.18
824.19,605.01,71.67,98.48,92.61,269.7,179.44,663.58,197.72,595.03
824.33,607.07,38.52,75.3,106.93,253.26,176.42,639.01,194.69,527.95
824.47,609.13,10.65,61.03,49.01,220.98,210.17,660.09,213.56,582.61
824.61,611.18,16.32,59.99,53.54,241.87,219.02,716.84,282,666.7
824.75,613.24,23.95,39.87,56.17,223.58,211.98,751.92,331.36,723.87
824.89,615.29,21.77,24.31,55.48,189.12,199.38,730.67,334.63,708.14
825.03,617.35,7.62,14.2,27.7,204.61,194.66,692.89,319.26,667.28
825.17,619.4,10.4,3.27,0,173.04,177.17,627.89,264.59,588.3
825.31,621.45,10.4,0,0,173.31,107.79,587.25,202.5,472.77
825.45,623.5,10.98,0,0,102.87,58.63,464.42,125.77,324.11
825.59,625.55,0.59,0,0,56.67,26.04,383.07,64.08,213.36
825.73,627.6,35.77,0,0,65.35,48.56,318.76,48.97,150.38
825.87,629.64,72.35,0,0,101.65,102.64,347.93,103.23,211.31
826.01,631.69,95.78,0,31.4,177.04,152.73,419.05,145.3,275.91
826.15,633.73,95.59,3.58,86.44,210.81,216.49,487.11,181.86,369.21
826.29,635.78,94.53,3.58,110.59,225.65,240.93,537.12,191.9,406.86
826.43,637.82,141.6,24.07,150.07,240.55,288.39,587.42,278.43,485.53
826.57,639.86,155.01,20.49,160.78,214.42,295.75,644.24,303.33,512.46
826.7,641.9,150.44,20.49,197.72,200.26,328.01,674.24,327.94,571.98
826.84,643.94,134.22,0,204.91,182.05,326.84,644.1,297.6,538.43
826.98,645.98,151.58,0,183.89,185.04,301.14,525.05,259.52,446.7
827.12,648.02,152.07,0,164.9,154.77,245.79,359.98,170.61,274.68
827.26,650.06,112.47,0,105.7,82.67,164.24,173.35,72.35,115.35
827.4,652.09,81.56,0,65.08,49.57,111.27,55.92,15.18,35.14
827.54,654.13,113.34,0,26.04,24.91,95.55,10.26,0,0
827.68,656.16,161.16,0,24.92,24.91,120.07,35.95,0,0
827.82,658.2,178.11,0,26.83,0,150.29,40.63,0,0
827.96,660.23,155.98,0,80.87,0,154.32,43.9,0,0
828.1,662.26,123.77,0,86.06,0,142.49,12.18,0,0
828.24,664.29,117.82,0,119.06,0,130.46,34.25,14.43,4.93
828.38,666.32,112.01,0,133.09,0,165.14,104.01,61.04,11.34
828.52,668.34,145.24,0,151.04,0,180.74,133.01,82.81,11.34
828.65,670.37,133.4,0,118.48,0,166.16,102.03,68.38,6.41
828.79,672.4,180.82,0,112.06,0,146.06,29,21.77,0
828.93,674.42,189.27,0,114.58,0,174.22,3.91,0,0
829.07,676.45,218.33,0,152.91,0,212.87,3.91,32.47,0
829.21,678.47,193.87,0,167.95,0,258.9,3.91,32.47,0
829.35,680.49,168.79,0,166.93,0,210.52,0,32.47,0
829.49,682.51,138.09,0,181.84,0,183.08,0,0,0
829.63,684.53,158.65,0,197.24,0,161.14,27.31,52.71,15.65
829.77,686.55,156.94,0,242.24,14.09,234.46,41.77,104.79,18.05
829.91,688.57,162.83,0,252.74,14.09,264.62,41.77,104.79,18.05
830.04,690.58,158.21,0,226.3,17.9,262.49,14.46,66.62,2.39
830.18,692.6,179.2,0,195.01,9.35,209.86,0,16.08,0
830.32,694.61,198.8,0,184.9,9.35,210.4,0,16.08,0
830.46,696.63,185.46,0,198.72,5.55,165.22,0,1.54,0
830.6,698.64,186.5,0,207.5,7.25,196.32,0,4.45,0
830.74,700.65,208.27,0,262.22,18.23,205.71,0,54.97,0
830.88,702.66,211.65,0,303.78,19.68,242.6,0,83.98,0
831.02,704.67,201.43,0,341.96,12.43,224.11,0,100.02,0
831.16,706.68,182.71,0,318.54,1.45,212.35,0,49.51,0
831.29,708.69,166.84,0,335.18,0,230.66,0,27.94,0
831.43,710.69,170.8,10.59,319.89,0,245.04,0,38.24,0
831.57,712.7,185.05,10.59,333.45,5.67,246.6,0,59.6,0
831.71,714.7,180.81,10.59,318.74,5.67,200.56,0,52.16,0
831.85,716.71,188.31,10.51,358.66,5.67,152.16,0,21.36,0
831.99,718.71,168.76,27.53,338.43,0,142.61,0,0,0
832.13,720.71,211.84,29.35,340.39,0,150.24,0,0,0
832.26,722.71,184.44,50.22,336.09,28.74,199.62,0,21.74,0
832.4,724.71,216.43,100.11,384.76,50.85,210.64,0,48.78,0
832.54,726.71,203.17,143.68,389.06,53.64,238.3,0,78.78,0
832.68,728.71,232.54,164.17,431.22,35.03,211.15,0,65,0
832.82,730.7,203.65,160.35,467.02,12.92,191.64,0,40.98,0
832.96,732.7,203.4,197.76,474.01,28.94,172.66,0,10.98,0
833.1,734.69,194.11,205.76,399.54,18.82,167.21,0,3.02,0
833.23,736.69,223.23,208.12,382.71,43.68,189.08,0,0,0
833.37,738.68,213.43,198.16,343.52,24.86,178.26,0,0,0
833.51,740.67,203.61,213.45,402.86,24.86,206.64,0,0,0
833.65,742.66,188.19,200.1,395.52,0,167.01,0,0,0
833.79,744.65,189.31,196.88,457.94,0,176.48,0,0,0
833.93,746.64,167.4,195.91,470.9,0,139.15,0,0,0
834.06,748.63,141.13,218.52,490.74,0,147.7,0,9.4,0
834.2,750.61,109.61,219.16,489.89,18.13,133.58,0,9.4,0
834.34,752.6,120.07,232.71,462.26,18.13,152,0,17.07,0
834.48,754.58,126.51,221.51,436.83,18.13,141.31,0,28.59,0
834.62,756.57,148.59,216.23,411.96,0,119.5,0,28.59,0
834.75,758.55,157.21,199.75,400.19,0,66.46,0,20.92,0
834.89,760.53,166.92,260.63,399.74,29.11,71.76,0,0,0
835.03,762.51,170.5,280.66,383.74,29.11,47.07,0,4.01,0
835.17,764.49,171.4,313.26,389.29,37.07,86.04,0,18.81,0
835.31,766.47,186.61,299.46,377.39,45,94.56,0,18.81,0
835.44,768.45,179.58,310.35,382.83,70.1,95.85,0,14.8,0
835.58,770.42,171.21,286.49,375.83,68.39,65.61,0,0,0
835.72,772.4,146.05,280.11,385.28,33.86,27.49,0,27.88,0
835.86,774.37,191.54,279.65,409.28,37.63,63.27,0,37.79,0
836,776.34,236.46,348.56,482.3,105.81,57.06,0,37.79,0
836.13,778.32,275.49,334.16,525.32,144.06,84.19,0,26.42,0
836.27,780.29,263.39,377.58,565.13,150.17,95.78,0,22.27,0
836.41,782.26,245.73,350.69,504.61,75.74,120.4,0,25.06,0
836.55,784.23,246.28,347.95,508.56,56.12,85.8,0,8.55,0
836.69,786.19,267.83,325.81,504.74,24.81,37.14,0,2.79,0
836.82,788.16,314.59,327.47,522.05,26.65,18.59,0,32.22,0
836.96,790.13,320.57,372.29,522.82,5.5,31.17,0,72.59,0
837.1,792.09,301.99,386.8,509.61,32.67,75.42,0,85.67,0
837.24,794.06,269.41,355.58,515.65,30.83,79.28,0,53.46,0
837.37,796.02,247.61,327.39,513.37,30.83,67.49,0,13.09,0
837.51,797.98,214.02,301.69,483.23,0,23.24,0,0.01,0
837.65,799.94,184.66,318.14,522.55,0,7.74,0,5.06,0
837.79,801.9,162.63,321.51,517.13,0,20.83,0,9.73,0
837.92,803.86,179.15,322.71,586.85,0,42.67,0,40.91,0
838.06,805.82,192.57,355.39,584.04,0,54.38,0,63.77,0
838.2,807.78,191.33,408.33,596.81,0,49.02,0,75.64,0
838.34,809.73,203.53,450.65,591.29,0,27.18,0,44.46,0
838.47,811.69,166.18,443.01,614.8,0,13.24,0,16.54,0
838.61,813.64,179.95,448.75,671.35,0,11,0,0,0
838.75,815.6,169.61,453.31,695.04,0,28.1,0,0,0
838.89,817.55,248.39,472.25,741.77,0,24.77,0,0,0
839.02,819.5,257.74,457.35,778.66,0,49.56,0,29.32,0
839.16,821.45,257.09,468.71,810.48,10.73,54.29,0,51.86,0
839.3,823.4,218.79,462.68,774.22,10.73,54.29,0,57.73,0
839.43,825.35,232.72,479.8,753.46,10.73,31.78,0,36.87,0
839.57,827.29,213.99,509.53,761.63,2.2,26.88,0,25.02,0
839.71,829.24,188.28,508.2,765.74,2.2,26.88,0,19.14,0
839.85,831.18,182.69,496.25,756.57,12.99,23.65,0,21.44,0
839.98,833.13,165.22,464.01,688.11,10.79,6.72,0,10.75,0
840.12,835.07,185.43,489.39,709.59,10.79,19.84,0,10.75,0
840.26,837.01,198.78,535.48,699.13,0,37.67,0,32.34,0
840.39,838.95,219.46,526.84,748.94,0,56.23,0,32.34,0
840.53,840.89,263.5,542.81,813.37,0,43.11,0,32.34,0
840.67,842.83,240.12,505.62,831.97,0,37.37,0,7.22,0
840.81,844.77,286.52,530.14,899.62,25.38,33.69,0,7.22,0
840.94,846.71,278.06,526.39,839,34.7,51.27,0,16.51,0
841.08,848.64,295.06,573.03,861.78,92.99,62.07,0,9.79,0
841.22,850.58,248.08,598.94,857.51,111.86,68.82,0,9.79,0
841.35,852.51,213.57,615.58,898.64,120.21,78.66,0,1.24,0
841.49,854.44,228.85,608.94,861.84,124.69,66.9,0,0.74,0
841.63,856.37,260.49,603.25,809.66,131.2,64.77,0,0.74,0
841.76,858.31,308.27,610.96,793.55,206.86,42.05,0,4.82,0
841.9,860.23,284.06,609.94,834.4,186.21,26.64,0,20.68,0
842.04,862.16,281.55,590.21,839.88,178.59,7.14,0,31.49,0
842.17,864.09,255.4,578.43,772.32,128.67,2.44,0,26.67,0
842.31,866.02,255.16,528.82,725.95,108.35,0,0,10.81,0
842.45,867.94,234.5,501.72,667.76,65.2,0,0,0,0
842.58,869.87,208.98,458.69,586.99,23.29,0,0,3.79,0
842.72,871.79,175.93,447.05,502.3,1.49,0,0,3.79,0
842.86,873.71,156.02,432.14,451.02,1.49,0,0,3.79,0
842.99,875.64,109.03,407.74,419.6,0,0,0,0,0
843.13,877.56,98.18,398.08,392.59,0,0,0,0,0
843.27,879.48,71.24,348.26,332.79,0,0,0,0,0
843.4,881.39,74.01,288.4,328.96,0,0,0,0,0
843.54,883.31,58.14,216.5,285.1,0,0,0,0,0
843.68,885.23,71.07,190.66,249.67,0,0,0,0,0
843.81,887.14,56.26,170.01,167.78,0,0,0,0,0
843.95,889.06,41.49,149.32,81.92,0,0,0,0,0
844.08,890.97,17.3,91.47,39.88,0,0,0,0,0
844.22,892.88,33.48,100.59,54.48,0,0,0,0,0
844.36,894.8,51.36,115.01,73.35,0,0,0,0,0
844.49,896.71,67.06,140.83,58.37,0,0,0,0,0
844.63,898.62,82.34,110.84,37.94,0,0,0,0,0
844.77,900.52,76.44,93.59,22.61,0,0,0,0,0
844.9,902.43,63.47,84.86,31.82,0,0,0,0,0
845.04,904.34,68.42,78.32,75.24,0,0,0,0,0
845.17,906.24,113.85,40.77,127.78,0,0,0,0,0
845.31,908.15,168.88,54.83,175.86,0,0,0,0,0
845.45,910.05,162.5,35.42,176.15,0,0,0,2.14,0
845.58,911.95,187.16,77.06,201.12,0,0,0,12.29,0
845.72,913.86,159.53,76.92,225.74,0,0,0,30.79,0
845.85,915.76,181.38,87.19,244.48,0,0,0,47.29,0
845.99,917.66,161.27,84.1,253.89,0,0,0,37.14,0
846.13,919.55,172.43,99.88,283.19,0,0,0,18.64,0
846.26,921.45,149.63,116.96,274.49,0,0,0,11.81,0
846.4,923.35,100.65,116.79,275.24,0,0,0,15.15,0
846.53,925.24,53.6,105.82,247.55,0,0,0,26.03,0
846.67,927.14,48.03,137.26,249.98,0,0,0,14.22,0
846.81,929.03,97.85,132.69,209.75,0,0,0,12.65,0
846.94,930.92,115.6,130.31,149.09,0,0,0,1.77,0
847.08,932.81,102.17,93.02,103.88,0,0,0,7.16,0
847.21,934.7,37.67,97.27,85.25,0,0,0,5.39,0
847.35,936.59,57.88,101.16,55.29,0,0,0,32.44,0
847.48,938.48,62.81,92.37,51.34,0,0,0,51.95,0
847.62,940.37,56.97,61,19.03,0,0,0,56.5,0
847.75,942.25,17.66,43.17,38.45,0,0,0,44.43,0
847.89,944.14,13.17,62.43,34.01,0,0,0,32.85,0
848.03,946.02,51.77,99.46,48.2,0,0,0,44.42,0
848.16,947.91,57.6,76.61,32.35,0,0,0,29.43,0
848.3,949.79,51.37,64.93,60.08,0,0,0,33.75,0
848.43,951.67,22.97,38.69,74.28,0,0,0,32.22,0
848.57,953.55,58.73,64.18,106.28,0,0,0,33.21,0
848.7,955.43,52.19,60.02,90.97,0,0,0,15.57,0
848.84,957.31,48.49,111.29,78.14,13.32,0,0,23.72,8.33
848.97,959.18,6.5,116.89,60,21.74,0,0,25.24,42.5
849.11,961.06,31.58,108.81,42.55,21.74,0,0,29.43,76.78
849.24,962.94,48.59,66.94,45.36,8.42,0,0,6.7,111.9
849.38,964.81,48.59,39.39,27.92,0,0,0,4.19,126.16
849.51,966.68,32.48,30.41,18.36,0,0,0,0,91.87
849.65,968.55,12.09,3.54,0,0,0,0,0,48.43
849.78,970.43,12.09,0,0,0,0,0,0,0
849.92,972.3,3.12,0,0,0,0,0,0,0
850.05,974.16,17.22,0,0,0,0,0,0,17.54
850.19,976.03,21.43,0,0,0,0,0,0,70.7
850.32,977.9,21.43,0,0,0,0,18.94,0,130.97
850.46,979.76,4.21,0,0,0,0,70.27,5.91,218.96
850.59,981.63,0,0,0,0,0,147.17,8.43,280.77
850.73,983.49,25.93,0,0,0,0,181.32,29.14,337.18
850.86,985.36,25.93,0,0,0,0,238.44,26.26,363.51
851,987.22,40.29,0,0,0,0,263.99,32.31,369.55
851.13,989.08,25.49,0,0,0,0,339.84,11.59,369.19
851.27,990.94,25.49,0,0,0,0,367.78,9.39,367.2
851.4,992.8,28.59,0,0,0,0,391.15,0.82,360.59
851.54,994.66,20.08,0,0,20.63,0,379.38,27.84,400.79
851.67,996.51,39.02,0,0,42.89,0,390.04,53.55,414.37
851.81,998.37,49.85,0,0,42.89,0,425.56,77.61,433.78
851.94,1000.22,47.22,0,0,26.92,0,470.4,56.51,423.44
852.08,1002.08,28.28,0,0,4.66,0,495.55,49.58,416.38
852.21,1003.93,0,0,0,4.66,0,500.35,66.46,408.91
852.34,1005.78,8.91,0,0,0,0,524.57,69.27,396.49
852.48,1007.63,8.91,0,0,0,0,497.11,51.91,415.67
852.61,1009.48,8.91,0,0,0,0,472.64,10.97,377.44
852.75,1011.33,0,0,0,0,0,447.37,10.81,348.38
852.88,1013.18,0,0,0,0,0,442.3,16.69,295.14
853.02,1015.03,0,0,0,0,0,466.55,16.69,325.5
853.15,1016.87,0,0,0,0,0,479.24,12.32,333.24
853.29,1018.72,0,0,0,0,0,467.9,4.21,320.58
853.42,1020.56,0,0,0,0,0,411.89,4.21,263.52
853.55,1022.4,0,0,0,0,0,321.74,0,212.29
853.69,1024.24,0,0,0,0,0,239.15,0,122.62
853.82,1026.08,0,0,0,0,0,165.98,0,61.2
853.96,1027.92,0,0,0,0,0,82.47,0,0
854.09,1029.76,0,0,0,0,0,36.72,0,0
854.22,1031.6,0,0,0,0,0,0,0,0
854.36,1033.44,0,0,0,0,0,0,0,0
854.49,1035.27,0,0,0,0,0,85.88,0,22.34
854.63,1037.11,0,0,0,0,0,192.48,0,63.78
854.76,1038.94,0,0,0,0,0,321.22,0,156.38
854.89,1040.77,0,0,0,0,0,381.06,0,239.3
855.03,1042.6,0,0,0,0,0,414.56,5.81,326.16
855.16,1044.43,0,0,0,0,0,502.94,5.81,365.18
