WP-00790,,PS0.1ppm,PS0.5ppm,PS1ppm,PS5ppm,PS10ppm,PS50ppm,PS100ppm,PS200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
810.54,400.6,0,0,0,134.37,144.73,569.92,329.01,212.81
810.68,402.75,0,0,0,105.05,148.55,469.8,321.17,241.21
810.82,404.91,0,0,0,80.18,54.83,420.91,247.32,227.91
810.96,407.06,0,0,0,50.56,27.36,366.24,171.12,202.59
811.1,409.21,0,0,0,25.82,0,299.82,77.24,143.24
811.24,411.36,0,0,0,0,0,196.87,23.41,106.1
811.38,413.51,0,0,0,0,0,124.95,4.84,89.06
811.53,415.66,0,0,0,8.39,0,67.19,0,126.89
811.67,417.81,0,0,0,8.39,0,45.48,0,108.17
811.81,419.96,0,0,0,8.39,0,21.51,0,112.67
811.95,422.11,0,0,0,0,0,0,0,57.73
812.09,424.25,0,0,0,0,0,0,0,49.42
812.23,426.4,0,0,0,0,0,0,0,18.76
812.38,428.54,0,0,0,0,0,0,0,23.75
812.52,430.68,0,0,0,0,0,0,0,24.25
812.66,432.82,0,0,0,0,0,0,0,60.59
812.8,434.97,0,0,0,0,0,0,0,38.1
812.94,437.11,0,0,0,0,0,0,0,37.6
813.08,439.24,0,0,0,0,0,0,0,1.26
813.22,441.38,0,0,0,0,0,0,0,0
813.36,443.52,0,0,0,0,0,0,0,0
813.51,445.65,0,0,0,0,0,0,0,0
813.65,447.79,0,0,0,0,0,0,0,0
813.79,449.92,0,0,0,0,0,0,0,0
813.93,452.05,0,0,0,0,0,0,0,0
814.07,454.19,0,0,0,0,0,0,0,0
814.21,456.32,0,0,0,0,0,0,0,0
814.35,458.45,0,0,0,0,0,0,0,0
814.49,460.57,0,0,0,0,0,0,0,0
814.64,462.7,0,0,0,0,0,0,0,0
814.78,464.83,0,0,0,0,0,0,0,0
814.92,466.95,0,0,0,0,0,0,0,0
815.06,469.08,0,0,0,0,0,0,0,0
815.2,471.2,0,0,0,0,0,0,0,0
815.34,473.32,0,0,0,0,0,0,0,0
815.48,475.45,0,0,0,0,0,0,0,0
815.62,477.57,0,0,0,0,0,0,0,0
815.76,479.69,0,0,0,0,0,0,0,0
815.91,481.8,0,0,0,0,0,0,0,0
816.05,483.92,0,0,0,0,0,0,0,0
816.19,486.04,0,0,0,0,0,0,0,0
816.33,488.15,0,0,0,0,0,0,0,0
816.47,490.27,0,0,0,0,0,0,0,0
816.61,492.38,0,0,0,0,0,0,0,0
816.75,494.49,0,0,0,0,0,0,0,0
816.89,496.61,0,0,0,0,0,0,0,0
817.03,498.72,0,0,0,0,0,0,0,0
817.17,500.83,0,0,0,42.71,0,0,0,6.36
817.31,502.93,0,0,0,43.34,0,0,0,6.36
817.46,505.04,0,0,0,43.34,0,0,0,6.36
817.6,507.15,0,0,0,0.63,0,0,0,0
817.74,509.25,0,0,0,0,0,0,0,0
817.88,511.36,0,0,0,0,0,0,0,0
818.02,513.46,0,0,0,0,0,0,0,0
818.16,515.56,0,0,0,0,0,0,0,0
818.3,517.66,0,0,0,7.22,0,0,0,0
818.44,519.76,0,4.18,0,7.22,0,0,0,0
818.58,521.86,0,4.18,0,16.7,0,0,0,0
818.72,523.96,0,17.7,0,9.48,0,0,0,0
818.86,526.06,0,13.51,0,9.48,0,0,0,0
819,528.16,0,13.51,0,0,0,0,0,0
819.14,530.25,0,0,0,0,0,0,0,0
819.28,532.35,0,34.49,0,0,0,0,0,0
819.42,534.44,0,49.94,0,2.92,0,0,0,0
819.57,536.53,0,85.53,0,2.92,0,0,0,0
819.71,538.62,0,91.93,0,2.92,0,0,0,0
819.85,540.71,0,76.48,0,0,0,0,0,0
819.99,542.8,0,65.12,0,4.12,0,0,0,0
820.13,544.89,0,25.5,0,62.01,2.23,75.51,19.67,82.51
820.27,546.98,0,25.5,0,87.41,18.55,157.63,148.45,200.9
820.41,549.06,0,1.27,0,125.63,38.27,221.65,247.99,362.55
820.55,551.15,0,0,0,78.36,43,262.27,331.83,423.2
820.69,553.23,0,0,0,104.61,43.85,258.69,290.52,436.51
820.83,555.32,0,0,0,93.24,38.92,261.7,223.16,327.62
820.97,557.4,0,24.7,0,110.83,31.96,203.86,132.99,263.06
821.11,559.48,0,24.7,0,59.19,14.79,143.28,45.53,144.96
821.25,561.56,0,24.7,0,49.92,0,98.2,13.34,106.88
821.39,563.64,0,4.79,0,35.04,0,76.28,0,108.81
821.53,565.72,0,14.16,0,45.86,0,98.65,0,120.21
821.67,567.8,0,14.16,0,24.15,0,115.74,0,106.18
821.81,569.87,0,37.42,0,22.93,0,90.24,0,25.65
821.95,571.95,0,36.22,4.36,12.1,0,49.92,0,0.64
822.09,574.02,0,36.22,22.25,12.1,2.31,10.87,0,0
822.23,576.09,0,13,35.71,0,2.31,0,0,0
822.37,578.17,0,39.55,31.35,0,2.31,0,0,0
822.51,580.24,0,91.34,13.47,0,0,0,0,0
822.65,582.31,1.98,155.55,23.59,0,0,0,0,0
822.79,584.38,45.83,193.75,51.57,0,0,0,0,0
822.93,586.45,74.99,146.85,74,0,0,0,0,0
823.07,588.51,73.01,121.5,88.13,0,0,0,0,0
823.21,590.58,29.15,60.6,85.68,0,0.72,0,0,0
823.35,592.64,0,95.27,94.08,0,14.33,0,0,0
823.49,594.71,5.33,73.83,56.36,0,19.94,0,0,0
823.63,596.77,5.33,68.73,47.6,0,34.38,0,0,16.09
823.77,598.83,5.33,29.19,16.77,8.73,42.83,2.16,0,23.82
823.91,600.89,0,6.93,16.77,38.75,37.22,2.47,0,29.14
824.05,602.95,0,31.88,0,49.14,22.06,16.62,17.56,20.03
824.19,605.01,0,31.88,0,40.41,0,14.46,17.56,30.43
824.33,607.07,0,31.88,0,24.76,38.92,44.68,17.56,43.56
824.47,609.13,0,29,5.52,14.36,51.21,76.5,52.84,116.78
824.61,611.18,0,29,5.52,24.97,62.78,121.81,126.2,216.18
824.75,613.24,0,29,5.52,45.67,35.4,149.95,149.77,336.66
824.89,615.29,0,0,6.07,85.6,24.5,136.27,171.96,398.11
825.03,617.35,0,0,6.07,78.36,33.65,121.31,198.91,473.42
825.17,619.4,0,0,6.07,49.75,22.12,85.31,228.83,497.48
825.31,621.45,0,0,8.38,9.81,32.82,100.94,185.08,471.97
825.45,623.5,0,2.34,38.78,6.45,20.58,82.3,84.77,331.99
825.59,625.55,0,2.34,63.62,0,58.15,59.63,31.28,184.33
825.73,627.6,0,25.11,58.93,0,90.71,37.49,14.17,75.76
825.87,629.64,0,22.77,93.57,30.08,115.46,39.22,25.26,52.18
826.01,631.69,17.14,28.87,76.56,48.97,138.73,102.38,63.98,91.92
826.15,633.73,17.14,9.72,98.1,97.11,173.09,146.74,125.43,148.87
826.29,635.78,20,9.72,41.66,97.97,213.97,170.97,173.12,168.15
826.43,637.82,20.82,42.67,86.22,128.7,258.73,197.75,247.04,216.43
826.57,639.86,20.82,75.89,95.02,160.85,266.91,198.3,297.09,246.59
826.7,641.9,17.96,92.72,132.28,215.42,327.75,291.86,365.82,328.19
826.84,643.94,0,89.71,121.11,234.75,338.35,308.86,377.03,320.69
826.98,645.98,16.64,76.86,124.06,211.83,340.29,323.53,345.26,263.96
827.12,648.02,31.85,83.4,139.7,169.79,292.78,232.11,285.75,133.79
827.26,650.06,66.39,73.22,170.59,102.95,306.06,145.47,191.71,37.94
827.4,652.09,69.16,69.76,188.82,45.57,337.23,89.41,113.27,0
827.54,654.13,93.53,75.58,202.64,2.11,376.2,78.82,70.31,0
827.68,656.16,105.64,66.47,193.82,21.88,350.73,98.8,89.62,0
827.82,658.2,122.36,77.3,178.24,30.6,326.07,120.59,136.43,0
827.96,660.23,139.58,71.98,133.8,30.6,286.42,116.42,180.95,0
828.1,662.26,150.75,63.28,97.28,8.72,257.25,132.72,180.3,0
828.24,664.29,177.99,67.98,118.8,19.09,273,149.95,225.6,27.2
828.38,666.32,153.5,99.64,146.89,57.78,314.24,206.34,276.4,74.85
828.52,668.34,149.53,120.15,162.14,59.95,337.51,218.44,347.27,101.13
828.65,670.37,114.17,98.95,145.98,40.86,334.6,201.36,285.32,73.93
828.79,672.4,132.65,43.42,134.63,2.17,281.41,125.68,208.77,26.28
828.93,674.42,144.09,24.7,150.21,33.36,299.71,99.49,165.73,0
829.07,676.45,159.92,62.72,124.82,62.3,277.95,103.25,175.33,23.35
829.21,678.47,156.71,78.24,131.71,69.8,296.36,121.51,202.12,26.55
829.35,680.49,136,78.42,101.41,36.44,254.17,93.51,172.33,26.55
829.49,682.51,111.7,77.02,121.49,7.51,252.6,52.81,153.84,3.19
829.63,684.53,75.35,74.25,111.84,17.75,299.88,64.61,202.88,37.69
829.77,686.55,59.4,81.57,135.23,41.84,350.78,142.05,267.24,85.46
829.91,688.57,63.63,30.08,148.46,41.84,409.09,127.76,355.69,133.73
830.04,690.58,105.82,65.23,166.95,37.95,388.93,167.13,323.69,117.69
830.18,692.6,132.41,68.14,143.16,22.71,369.74,103.49,279.67,95.03
830.32,694.61,150.84,104.26,108.88,22.71,325.63,134.74,214.76,46.76
830.46,696.63,183.01,94.12,89.31,8.85,310.17,101.82,179.17,25.11
830.6,698.64,185.26,130.08,135.79,27.26,344.35,140.22,201.91,24.38
830.74,700.65,190.24,115.13,173.34,60.95,359.53,228.94,285.32,69.14
830.88,702.66,153.95,103.27,164.94,110.84,365.02,230.98,375.4,117.71
831.02,704.67,149.85,67.96,162.38,102.67,326.95,241.13,405.6,128.59
831.16,706.68,129.6,70.18,176.66,68.98,290.65,168.05,344.92,83.83
831.29,708.69,126.98,96.06,201.9,33.69,323.91,179.52,320.8,89.83
831.43,710.69,135.88,115.81,194.3,22.85,336.61,150.43,285.14,79.67
831.57,712.7,185.96,166.78,200.22,48.95,387.76,157.46,266.61,79.67
831.71,714.7,179.9,165.29,196.65,39.54,341.03,125.94,177.87,25.1
831.85,716.71,187.69,186.68,203.26,31.3,350.08,78.18,148.6,0
831.99,718.71,128.22,193.51,190.26,5.19,306.49,24.27,134.02,0
832.13,720.71,149.93,197.23,221.12,10.1,336.69,28.34,146.58,0
832.26,722.71,140.51,187.16,212.83,69.4,382.35,92.89,136.28,16.26
832.4,724.71,198.6,146.64,223.06,140.77,440.48,157.75,191.45,63.18
832.54,726.71,194.77,151.23,201.02,190.23,457.3,170.77,259.99,112.95
832.68,728.71,193.8,160.05,230.17,157.8,402.6,129.92,277.35,103.86
832.82,730.7,177.13,177.19,242.63,98.82,409.15,101.32,238.63,82.74
832.96,732.7,191.32,159.56,244.6,39.26,412.85,83.53,176.4,42.48
833.1,734.69,206.03,188.15,255.77,12.39,430.69,85.22,164.99,35.3
833.23,736.69,215.04,180.42,259.57,0,417.46,83.17,117.19,9.51
833.37,738.68,195.47,169.46,271.12,12.93,382.95,94.48,135.76,0
833.51,740.67,189.87,95.51,266.64,12.93,380.37,103.39,129.61,0
833.65,742.66,200.57,90.91,262.14,12.93,375.39,95.9,199.06,6.95
833.79,744.65,200.7,79.75,254.72,0,386.13,82.46,181.91,6.95
833.93,746.64,172.57,99.71,238.05,0,392.59,62.39,179.14,27.11
834.06,748.63,127.3,77.24,233.25,11.24,362.56,104.49,160.55,52.09
834.2,750.61,107.34,71.11,198.43,31.57,354.47,132.86,203.91,93.21
834.34,752.6,132.79,71.11,184.37,42.65,349.78,225.29,228.33,148.26
834.48,754.58,127,48.11,139.39,53.47,352.15,242.77,262.15,187.73
834.62,756.57,119.3,53.35,144.51,33.14,346.26,246.98,265.04,222.64
834.75,758.55,87.46,17.98,118.17,22.06,309.55,185.36,287.78,203.41
834.89,760.53,143.26,43.27,148.81,0,317.13,175.36,337.49,234.84
835.03,762.51,166.15,50.22,167.88,0,309.79,201.09,370.6,265.37
835.17,764.49,198.02,91.39,218.61,0,317.75,270.78,463.34,318.56
835.31,766.47,175.53,88.38,256.65,0.97,348.68,286.42,519.38,365.4
835.44,768.45,171.13,84.18,269.8,8.38,384.69,298.15,589.84,404.68
835.58,770.42,160.93,93.55,295.15,13.57,413.9,290.72,621.5,423.18
835.72,772.4,160.82,92.71,301.61,23,422.87,289.37,566.9,391.11
835.86,774.37,173.25,131.13,323.28,70.88,425.7,266.54,542.84,347.93
836,776.34,190.99,140.57,301.94,99.55,434.84,219.69,474.76,285.74
836.13,778.32,200.83,163.81,320.71,126.56,455.09,158.91,439.43,243.67
836.27,780.29,227.08,165.18,340.25,119.36,491.42,173.89,384.53,241.7
836.41,782.26,228.21,151.81,365.34,112.95,505.31,172.4,340.17,269.29
836.55,784.23,235.77,156.24,337.54,126.76,496.63,220.33,319.91,264
836.69,786.19,225.65,136.03,347.08,122.59,475.27,225.57,309.97,251.37
836.82,788.16,232.17,151.18,350.27,132.43,516.25,232.47,317.68,269.08
836.96,790.13,236.9,130.59,361.69,120.28,504.77,243.9,370.61,323.34
837.1,792.09,273.39,133.8,309.56,153.8,494.74,247.43,371.98,352.06
837.24,794.06,288.2,115.38,285.43,185.12,425.05,220.61,346.67,335.46
837.37,796.02,289.78,153.1,259.41,183.33,392.47,185.23,273.48,261.97
837.51,797.98,258.67,157.19,283.06,116.56,350.57,134.17,228.61,193.16
837.65,799.94,280.33,139.75,287.16,82.46,347.45,151.89,222.86,188.47
837.79,801.9,291.86,108.24,281.16,80.38,353.23,168.49,233.33,190.01
837.92,803.86,335.61,116.32,282.05,117.53,361.58,239.63,279.36,214.45
838.06,805.82,314.67,147.11,265.29,126.03,343.28,240.12,298.73,185.57
838.2,807.78,333.62,123.15,258.08,125.1,298.22,202.15,261,166.93
838.34,809.73,318.66,88.34,240,106.96,272.62,95.3,173.39,96.75
838.47,811.69,333.58,61.8,267.82,97.06,237.6,44.68,88.67,36.15
838.61,813.64,366.94,75.4,275.1,113.83,315.71,42.84,102.41,25.33
838.75,815.6,384.62,62.71,267.72,129.51,304.52,78.01,137.84,31.54
838.89,817.55,412.3,61.73,251.69,138.32,331.68,88.18,245.61,64.43
839.02,819.5,389.18,56.34,258.23,150.7,307.76,115.93,279.62,88.56
839.16,821.45,396.06,71.67,268.45,168.53,326.88,115.68,309.99,139.04
839.3,823.4,358.49,54.92,236.58,183.05,344.58,136.67,243.93,124.78
839.43,825.35,307.47,67.78,229.28,173.14,290.54,128.9,244.11,77.54
839.57,827.29,279.89,63.46,247.44,201.58,343.31,132.92,216.76,37.65
839.71,829.24,241.3,51.05,234.62,189.71,295.12,110.96,239.11,38.45
839.85,831.18,270.03,42.49,224.49,211.29,289.3,98.02,251.81,86.83
839.98,833.13,224.77,23.29,184.05,173.34,232.53,85.1,248.87,118.01
840.12,835.07,227.94,24.39,174.4,178.74,236.91,77.32,262.08,127.34
840.26,837.01,202.78,51.07,146.45,180.82,286.67,73.23,252.98,138.69
840.39,838.95,179.84,51.07,114.07,164.47,230.7,74.71,279.14,132.96
840.53,840.89,168,64.19,119.17,150.37,232.56,107.68,293.1,150.71
840.67,842.83,154.05,48.58,135.17,108.62,213.36,130.89,312.99,148.71
840.81,844.77,213.77,54.33,175.54,98.33,293.2,170.8,359.25,154.74
840.94,846.71,250.93,77.27,182.05,90.28,327.88,192.18,405,174.91
841.08,848.64,297.87,73.37,218.36,122.25,362.07,213.04,456.22,199.57
841.22,850.58,294.92,105.63,245.14,119.46,380.75,232.05,502.27,249.03
841.35,852.51,326.3,90.28,263.62,145.03,389.49,252.43,521.69,289.86
841.49,854.44,345.8,75.76,251.24,103.39,418.07,287.95,540.93,277.5
841.63,856.37,381.18,54.52,233.45,111.22,436.27,283.73,564.76,244.41
841.76,858.31,403.9,75.99,249.35,86.84,494.86,300.89,550.65,204.68
841.9,860.23,402.4,73.64,237.73,102.6,468.64,314.2,538.03,216.77
842.04,862.16,403.46,111.89,216.04,135.05,480.36,363.11,515.34,231.78
842.17,864.09,389.19,125.87,219.38,131.51,467.82,378.73,551.7,254.17
842.31,866.02,357.26,138.24,194.75,112.22,448.02,376.72,543.45,264.93
842.45,867.94,291,110,219.49,79.07,391.29,343.1,514.91,265.4
842.58,869.87,268.07,52.74,185.27,65.38,303.3,308.52,473.09,234.91
842.72,871.79,235.15,37.95,173.76,43.13,277.39,257.32,394.66,188.13
842.86,873.71,234.13,22.44,138.17,11.75,272.1,210.4,364.51,136.28
842.99,875.64,160.77,22.44,79.07,0,252.9,162.53,273.75,95.81
843.13,877.56,143.54,22.49,101.33,19.53,207.55,149.15,230.49,74.82
843.27,879.48,118.76,11.22,56.76,19.53,138.39,143.27,125.06,44.3
843.4,881.39,112.98,11.22,56.76,19.53,102.31,162.77,77.7,25.1
843.54,883.31,75,0,0,0,67.09,108.45,55.5,0
843.68,885.23,78.57,0,24.2,0,56.84,99.73,67.59,0
843.81,887.14,81.82,0,24.2,0,47.68,90.4,56.88,0
843.95,889.06,108.19,0,24.2,0,32.23,124.58,48.2,0
844.08,890.97,77.69,0,0,0,10.08,109.26,42.04,0
844.22,892.88,59.86,0,0,0,0,71.34,42.04,0
844.36,894.8,40.26,0,0,0,0,53.36,34.56,0
844.49,896.71,74.34,0,4.34,0,10.44,69.11,23.16,0
844.63,898.62,93.43,14.23,4.34,0,14.01,91.26,53.25,0
844.77,900.52,116.87,14.23,4.34,0,14.01,92.48,90.65,0
844.9,902.43,107.1,14.23,0,0,28.8,56.54,133.56,51.7
845.04,904.34,108.57,12.07,9.27,2.52,104.58,78.88,190.44,100.54
845.17,906.24,108.82,19.27,9.88,2.52,147.94,77.4,230.83,172.09
845.31,908.15,103.98,26.41,29.6,2.52,175.58,81.88,271.18,174.12
845.45,910.05,103.6,30.22,41.31,0,134.43,49.54,299.05,204.97
845.58,911.95,108.01,72.88,93.18,0,165.16,69.72,322.44,174.66
845.72,913.86,128.1,85.94,119.1,0,201.99,110.96,349.24,189.07
845.85,915.76,165.65,94.85,149.85,0,248.7,140.39,381.56,217.32
845.99,917.66,181.78,44.98,114.88,0,190.41,157.44,389.18,253.17
846.13,919.55,184.14,29.14,114.52,0,188.11,194.13,390.43,248.97
846.26,921.45,155.19,9.7,100.54,0,183.58,227.22,412.77,242.5
846.4,923.35,179.47,11.27,102.84,1.82,187.05,227.6,407.07,251.3
846.53,925.24,200.33,8.75,86.76,1.82,117.52,188.95,425.01,263.39
846.67,927.14,209.55,3.41,65.39,1.82,85.76,142.38,376.36,218.19
846.81,929.03,195.56,5.47,70.2,0,117.89,133.33,384.58,183.84
846.94,930.92,216.25,3.64,51.39,0,124.13,143.69,389.21,164.88
847.08,932.81,217.41,3.64,75.09,0,75.51,110.25,372.37,154.42
847.21,934.7,192.14,0,50.48,0,33.65,70.1,319.84,166.91
847.35,936.59,126.12,43.21,70.41,0,33.12,72.92,264.61,164.02
847.48,938.48,93.12,43.21,30.32,3.76,33.12,119.14,256.14,175.19
847.62,940.37,82.14,43.21,64.28,6.98,42.49,121.45,274.09,170.75
847.75,942.25,128.51,8.67,33.96,6.98,37.31,97.51,323.12,170.71
847.89,944.14,143.91,8.67,33.96,3.22,37.31,117.66,361.58,181.4
848.03,946.02,135.66,8.67,0,0,25.7,181.89,416.45,183.48
848.16,947.91,76.88,0,0,0,12.65,205.98,415.53,205.74
848.3,949.79,67.02,12.82,0,0,17.89,229.7,475.26,226.62
848.43,951.67,81.06,16.46,3.5,0,30.19,268.74,509.96,265.11
848.57,953.55,88.91,31.16,15.81,24.54,68.07,325.31,604.2,293.45
848.7,955.43,98.45,30.81,15.81,30.84,111.06,331.96,676.2,326.18
848.84,957.31,111.57,51.76,12.31,43.7,146.4,383.92,784.52,347.21
848.97,959.18,97.82,37.06,1.65,45.25,109.98,412.08,839.7,407.74
849.11,961.06,102.1,24.59,30.53,54.72,106.68,502.33,889.65,451.67
849.24,962.94,96.08,3.88,43.33,66.45,84.18,515.33,958.69,504.66
849.38,964.81,134.52,3.88,41.68,41.98,109.91,537.2,1024.26,508.17
849.51,966.68,110.1,30.22,12.8,31.55,71.55,529.27,1071.38,497.18
849.65,968.55,122.71,26.34,0,6.96,46.65,505.43,1040.6,466.27
849.78,970.43,108.24,26.34,0,5.34,14.11,494.9,1014.47,427.31
849.92,972.3,119.8,0,0,8.88,7.54,503.8,1039.43,445.75
850.05,974.16,93.27,0,0,18.31,0,513.01,1093.71,495.81
850.19,976.03,75.88,0,0,18.31,0,519.75,1178.21,571.38
850.32,977.9,64.19,0,0,28.06,0,527.59,1206.8,611.03
850.46,979.76,31.45,0,0,21.62,0,582.97,1234.93,692.18
850.59,981.63,29.38,0,0,21.62,0,652.55,1298.94,771.19
850.73,983.49,13.46,0,0,38.79,7.83,666,1356.5,847.37
850.86,985.36,17.19,0,37.75,55.23,63.81,645.65,1443.27,939.06
