wavenumber,PS 50ppm-1,PS 50ppm-2,PS 50ppm-3,PS100ppm-1,PS 100ppm-2,PS 100ppm-3,PS 200ppm-1,PS 200ppm-2,PS 200ppm-3
376.82,2656.09,2611.53,2661.53,4709.95,4565.42,4475.1,4004.69,2811.61,2609.43
378.98,2557.35,2472.85,2484.2,4606,4418.38,4329.89,3906.38,2699.28,2525.46
381.15,2483.73,2422.28,2323.29,4478.41,4283.3,4175.23,3771.28,2598.39,2450.21
383.32,2372.89,2308.15,2199.78,4314.97,4153.91,4066.82,3594.25,2512.79,2421.44
385.48,2285.29,2260.22,2112.11,4187.42,4015.98,3923.43,3505.06,2470.89,2350.27
387.64,2196.9,2125.49,2085.6,4049.08,3876.15,3858.68,3409.01,2449.03,2287.68
389.8,2138.38,2096.28,2066.24,4003.93,3819.39,3714.91,3325.41,2406.85,2222.67
391.96,2066.17,2001.36,2016.47,3910.71,3748.46,3657.87,3191.69,2329.79,2166.66
394.12,1995.82,1965.28,1917.51,3871.31,3713.22,3561.08,3055.05,2237.38,2129.19
396.28,1884.88,1877.26,1846.56,3755.91,3569.22,3478.09,2922.36,2151.85,2070.48
398.44,1819.11,1816.72,1755.07,3643.93,3413.54,3353.99,2787.37,2095.29,2030.97
400.6,1718.61,1678.78,1644.47,3448.14,3215.61,3183.86,2619.17,2013.79,1920.74
402.75,1634.5,1561.19,1509.2,3231.96,3031.17,3014.47,2482.85,1928.46,1833.58
404.91,1493.42,1448.63,1377.59,2994.36,2856.88,2842.45,2285.73,1794.62,1651.79
407.06,1362.37,1345.75,1312.62,2785.32,2656.72,2636.8,2093.78,1664.26,1532.05
409.21,1217.01,1182.54,1199.29,2531.5,2449.66,2425.16,1869.99,1515.36,1357.65
411.36,1093.67,1065.33,1107.92,2333.52,2197.03,2193.51,1720.33,1340.58,1247.28
413.51,994.66,990.44,987.84,2122.37,1991.78,1984.82,1625.45,1204.91,1138.91
415.66,938.21,941.75,924.27,1949.6,1805.81,1812.31,1498.56,1089.22,1102.75
417.81,831.42,865.71,850.98,1732.94,1691.19,1641.39,1362.4,1036.62,1038.24
419.96,697.5,734.52,752.84,1502.61,1521.13,1489.28,1235.52,928.97,928.92
422.11,621.66,629.73,635.74,1279.8,1285.17,1272.17,1112.78,796.51,754.01
424.25,579.57,519.34,521.68,1047.5,1075.95,1068.04,972.84,656.2,629.5
426.4,545,449.12,424.08,917.13,943.56,920.33,818.11,566.82,545.81
428.54,440.93,398.39,356.61,799.34,862.65,814.34,732.92,556.69,474.95
430.68,386.48,345.25,337.71,743.54,745.32,734.51,716.35,503.92,432.67
432.82,249.96,316.71,320.37,620.06,631.88,612.14,654.71,465.14,364.63
434.97,165.93,259.3,261.8,499.1,492.2,507.12,511.55,345.59,278.38
437.11,58.71,172.02,157,340.64,394.58,397.75,338.85,241.58,157.92
439.24,41.27,68.57,64.93,190.99,218.36,228.89,197.91,102.85,62.8
441.38,22.05,7.24,14.16,75.01,115.95,104.08,96.35,28.83,24.54
443.52,0,0,0,14.84,16.2,0,27.9,0,0
445.65,0,0,0,0,0,0,0,0,0
447.79,0,0,0,0,0,0,0,0,0
449.92,0,0,0,0,0,0,0,0,0
452.05,0,0,0,0,0,0,0,0,0
454.19,0,0,0,0,0,0,0,0,0
456.32,0,0,0,0,0,0,0,0,0
458.45,0,0,0,0,0,0,0,0,0
460.57,0,0,0,0,0,0,0,0,0
462.7,0,0,0,0,0,0,0,0,0
464.83,0,0,0,0,0,0,0,0,0
466.95,0,0,0,0,0,0,0,0,0
469.08,0,0,0,0,0,0,0,0,0
471.2,0,0,0,0,0,0,0,0,0
473.32,0,0,0,0,0,0,0,0,0
475.45,0,0,0,0,0,0,0,0,0
477.57,0,0,0,0,0,0,0,0,0
479.69,0,0,0,0,0,0,0,0,0
481.8,0,0,0,0,0,0,0,0,0
483.92,0,0,0,0,0,0,0,0,0
486.04,0,0,0,0,0,0,0,0,0
488.15,0,0,0,0,0,0,0,0,0
490.27,0,0,0,0,0,0,0,0,0
492.38,0,0,0,0,0,0,0,0,0
494.49,0,0,0,0,0,0,0,0,0
496.61,0,0,0,0,0,0,0,0,0
498.72,0,0,0,0,0,0,0,0,0
500.83,0,0,0,0,0,0,0,0,0
502.93,0,0,0,0,0,0,0,0,0
505.04,0,0,0,0,0,0,0,0,0
507.15,0,0,0,0,0,0,0,0,0
509.25,0,0,0,0,0,0,0,0,0
511.36,0,0,0,0,0,0,0,0,0
513.46,0,0,0,0,0,0,0,0,0
515.56,0,0,0,0,0,0,0,0,0
517.66,0,0,0,0,0,0,0,0,0
519.76,0,0,0,0,0,0,0,0,0
521.86,0,0,0,0,0,0,0,0,0
523.96,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0
528.16,0,0,0,0,0,0,0,0,0
530.25,0,0,0,0,0,0,0,0,0
532.35,0,0,0,0,0,0,0,0,0
534.44,0,0,0,0,0,0,0,0,0
536.53,0,0,0,0,0,0,0,0,0
538.62,0,0,0,0,0,0,0,0,0
540.71,0,0,0,0,0,0,0,0,0
542.8,0,0,0,0,0,0,0,0,0
544.89,0,0,0,0,0,0,0,0,0
546.98,0,0,0,0,0,0,0,0,0
549.06,0,0,0,0,0,0,0,0,0
551.15,0,0,0,0,0,0,0,0,0
553.23,0,0,0,0,0,0,0,0,0
555.32,0,0,0,0,0,0,0,0,0
557.4,0,0,0,0,0,0,0,0,0
559.48,0,0,0,0,0,0,0,0,0
561.56,0,0,0,0,0,0,0,0,0
563.64,0,0,0,0,0,0,0,0,0
565.72,0,0,0,0,0,0,0,0,0
567.8,0,0,0,0,0,0,0,0,0
569.87,0,0,0,0,0,0,0,0,0
571.95,0,0,0,0,0,0,0,0,0
574.02,0,0,0,0,0,0,0,0,0
576.09,0,0,0,0,0,0,0,0,0
578.17,0,0,0,0,0,0,0,0,0
580.24,0,0,0,0,0,0,0,0,0
582.31,0,0,0,0,0,0,0,0,0
584.38,0,0,0,0,0,0,0,0,0
586.45,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0
590.58,0,0,0,0,0,0,0,0,0
592.64,0,0,0,0,0,0,0,0,0
594.71,0,0,0,0,0,0,0,0,0
596.77,0,0,0,0,0,0,0,0,0
598.83,0,0,0,0,0,0,0,0,0
600.89,0,0,0,0,0,0,0,0,0
602.95,0,0,0,0,0,0,0,0,0
605.01,0,0,0,0,0,0,0,0,0
607.07,0,0,0,0,0,0,0,0,0
609.13,0,0,0,0,0,0,0,0,0
611.18,7.66,12.21,34.75,0,0,0,0,16.26,0
613.24,7.66,22.4,55.08,21.11,15.83,0,0,62.78,38.04
615.29,7.66,24.93,112.32,41.32,20.14,6.33,0,87.62,100.71
617.35,57.27,41.6,166.74,53.73,55.34,41.64,11.53,148.92,169.74
619.4,132.09,94.63,198.84,69.32,64.04,80.67,34.28,221.4,269.47
621.45,170.81,120.68,178.95,49.11,74.99,74.34,89.45,266.74,256.01
623.5,141.06,91.81,89.78,36.71,39.79,39.03,77.92,198.82,226.58
625.55,66.24,28.58,37.35,0,15.26,0,55.17,79.82,88.81
627.6,37.53,0,0,0,0,0,0,9.64,41.65
629.64,10.01,0,0,0,0,11.18,0,0,2.05
631.69,53.32,7.1,27,1.48,43.82,47.72,0,21.9,24.82
633.73,98.76,46.46,41.14,91.78,92.39,109.69,0.71,73.85,57.14
635.78,162.25,98.31,92.97,171.2,157.34,150.51,33.87,166.12,118.34
637.82,189.7,221.1,146.72,253.56,202.47,224.63,103.53,203.77,197.87
639.86,212.48,332.89,250.12,335.49,343.12,340.58,231.03,250.55,261.17
641.9,281.37,411.77,327.28,457.08,517.07,493.8,344.12,286.25,318.69
643.94,302.82,430.87,383.97,524.11,598.43,580.73,417.93,338.96,309.51
645.98,283.14,345.84,389.19,523.57,564.18,584.03,374.1,355.03,271.32
648.02,207.79,220.13,326.06,416.9,461.43,487.48,271.06,227.05,152.6
650.06,158.75,96.73,198.22,344.41,419.5,391.05,153.49,114.8,68.91
652.09,153.59,57.54,75.46,237.34,380.95,316.98,94.92,0,9.44
654.13,133.51,75.76,32.22,216.88,336.99,327.81,51.69,19.68,9.44
656.16,110.08,80.62,47.27,274.26,345.16,350.41,27.77,35.53,14.3
658.2,119.96,86.11,78.07,333.81,339.13,380.46,1.97,59.01,14.3
660.23,122.59,81.69,96.82,404.95,387.67,424.72,11.21,39.33,40.8
662.26,140.74,98.78,114.41,380.47,403.88,460.63,9.24,35.57,58.84
664.29,191.3,121.61,144.06,415.23,452.31,459.08,37.73,86,126.7
666.32,252.04,193.62,178.89,463.03,474.41,469.5,96.18,182.67,218.85
668.34,302.31,229.14,249.21,534.5,491.49,493.55,177.55,250.04,235.25
670.37,244.19,214.28,252.48,463.43,482.66,437.33,149.06,202.47,191.36
672.4,179.92,133.93,206.58,423.03,467.81,344.41,81.36,105.8,104.74
674.42,141.39,87.97,153.39,368.18,445.81,303.99,17.2,64.03,76.59
676.45,148.02,189.51,183.37,458.66,477.77,419.84,87.88,96.55,97.02
678.47,195.16,257.22,245.16,416.45,510.02,513.63,178.93,131.74,119.37
680.49,207.35,288.31,250.33,395.11,512.45,519.24,198.04,128.02,145.51
682.51,210.93,243.12,209.21,361.63,463.71,510.32,194.25,127.8,167.78
684.53,245.45,272.87,229.02,437.56,471.01,571.11,269.79,217.95,251.07
686.55,322.58,379.54,332.08,537.23,552.7,693.92,411.32,305.48,330.37
688.57,358.41,407.93,405.18,609.41,633.53,747.53,506.6,344.82,340.12
690.58,394.3,443.02,427.97,684.76,764.5,762.27,527.63,315.29,345.31
692.6,336.11,396.37,371.69,692.49,804.84,692.68,507.95,324.47,322.51
694.61,335.96,382.76,316.43,675.05,828.97,680.2,491.35,345.11,378.15
696.63,266.85,319.85,318.52,653.09,716.56,656.84,491.8,335.54,316.22
698.64,342.22,342.08,377.75,721.39,716.06,759.02,513.09,361.89,346.83
700.65,422.73,401.11,475.45,860.61,777.44,826.08,575.2,434.13,382.99
702.66,538.5,475.4,498.05,960.53,865.5,905.46,605.91,522.71,492.13
704.67,533.62,510.37,481.34,974.23,869.99,905.26,648.32,546.74,535.7
706.68,464.77,497.37,416.64,915.07,841.91,847.15,683.76,487.55,503.35
708.69,396.73,515.5,388.4,896.13,850.38,795.23,729.33,471.25,460.86
710.69,384.93,461.87,345.05,925.53,864.15,738.61,683.14,453.94,433.67
712.7,394.81,431.25,348.72,942.71,840.35,769.39,619.62,457.4,431.23
714.7,379.6,406.21,331.28,870.54,761.19,712.13,585.99,454.85,382.41
716.71,364.96,383.06,336.4,788.03,637.32,680.81,620.58,422.61,402.56
718.71,396.45,409.71,350.96,737.73,581.3,606,661.28,418.91,402.88
720.71,435.5,430.91,399.42,721.07,642.57,604.14,695.51,411.18,425.83
722.71,520.46,479.01,460.43,787.05,762.45,664.54,774.28,503.77,427.72
724.71,605.42,524.78,548.11,900.11,905.07,807.32,870.01,602.76,524.34
726.71,670.38,567.56,575.78,1026.57,896.4,942.14,925.05,678.5,614.35
728.71,672.24,596.22,581.99,1036.67,912,957.89,963.94,664.54,672.63
730.7,645.65,587.44,567.09,975.05,868.87,932.55,960.33,623.2,636.86
732.7,576.85,552.77,523.63,924.6,868.22,843.36,965.45,634.71,593.9
734.69,523.04,552.42,541.15,925.87,796.61,797.19,986.19,595.29,550.99
736.69,476.56,536.4,492.32,889.2,770.37,727.71,962.85,578.59,534.46
738.68,455.74,529.37,517.48,830.91,774.82,714.24,913.12,515.29,553.63
740.67,439.36,502.77,443.07,757.11,798.74,695.23,888.43,526.15,552.27
742.66,399.75,454.61,474.75,757.79,738.78,696.34,900.09,531.85,539.07
744.65,412.9,451.88,471.86,765.95,753.29,754.23,921.12,541.04,528.33
746.64,391.49,440.58,494.72,775.92,738.26,764.57,870.51,537.05,483.74
748.63,413.4,482.59,485.22,839.24,796.9,801.91,887.79,571.44,496.5
750.61,410.73,458.36,459.81,902.04,761.32,748.68,928.43,590.32,548.07
752.6,475.94,510,495.26,993.74,846.97,766,980.51,615.12,642.54
754.58,518.24,508.07,509.8,997.91,902.05,777.75,955.25,606.74,717.81
756.57,594.73,518.66,542.19,1041.31,996.69,853.05,934.44,623.61,733.64
758.55,585.21,473.56,519.89,998.71,976.98,906.99,971.84,624.18,720.16
760.53,593.33,485.77,550.22,1028.45,1039.92,930.57,1050.45,669.45,737.35
762.51,544.09,521.62,563.18,1027.53,1013.52,896.46,1048.59,692.4,731.21
764.49,538.94,567.55,554.89,1098.38,1039.2,932.1,1025.71,752.49,742.86
766.47,551.42,597.78,544.56,1109.22,1041.53,965.03,1036.35,779.93,724.84
768.45,582.76,614.2,521.75,1102.61,1065.39,1042.16,1099.73,802.95,734.71
770.42,628.18,670.7,541.67,1116.43,1105.66,1087.36,1140.08,814.42,781.36
772.4,667.91,706.83,580.22,1203.23,1154.56,1130.85,1205.94,815.57,800
774.37,729.48,764.48,654.62,1306.56,1254.32,1228.18,1282.19,823.28,816.52
776.34,784.8,756.86,738.09,1345.65,1273.48,1212.91,1348.73,842.45,833.14
778.32,795.3,780.1,731.06,1357.6,1219.49,1205.82,1385.65,834.51,829.98
780.29,809.44,801.96,780.66,1325.19,1180.78,1150.33,1456.73,914.91,865.8
782.26,816.64,810.22,775.32,1348.86,1210.81,1164.91,1488.41,915.08,842.71
784.23,837.02,840.67,794.49,1373.04,1288,1202.97,1506.8,986.8,864.83
786.19,805.47,838.17,774.72,1355.63,1277.92,1192.76,1501.11,971.3,857.71
788.16,818.33,861.41,740.67,1362.29,1262.89,1236.26,1518.68,1029.24,947.34
790.13,831.02,810.83,758.46,1328.46,1265.7,1253.91,1541.27,1006.05,961.84
792.09,867.23,788.75,765.42,1348.13,1294.66,1299.06,1519.22,1025.41,992.19
794.06,817.38,695.95,751.33,1345.42,1247.55,1221.46,1468.3,968.75,890.86
796.02,757.16,646.11,696.51,1263.99,1113.05,1171.46,1359.17,967.74,860.49
797.98,641.33,570.65,575.75,1145.62,1005.59,1065.49,1238.61,848.82,753.86
799.94,611.78,527.14,562.6,1056.52,958.05,1046.77,1189.16,822.55,742.54
801.9,586.06,500.13,483.6,1029.24,905.33,992.86,1123.39,772.15,672.73
803.86,647.3,471.73,509.22,1084.24,898.19,1025.87,1107.06,811.39,707.89
805.82,603.36,546.5,515.66,1055.39,869.53,1019.69,1064.38,792.49,693.56
807.78,575.26,528.77,521.93,1072.02,872.35,978.97,1033.04,733.11,694.41
809.73,499.88,558.42,488.58,1000.36,867.86,891.94,999.57,645.15,624.99
811.69,479.22,483.78,412.61,949.74,896.72,839.59,966.64,585.6,553.31
813.64,468.06,478.98,428.13,908.26,954.72,768.37,931.68,539.9,540.13
815.6,480.94,391.89,444.69,906.15,971.41,811.17,911.26,585.61,536.01
817.55,486.43,425.06,486.86,934.29,1005.66,817.2,936.59,610.95,571.18
819.5,472.97,441.96,508.73,982.79,1015.94,945.25,960.78,669.68,574.73
821.45,529.45,530.12,494.2,1037.87,1035.11,939.19,996.71,655.05,637.9
823.4,550.63,527.32,485.04,1014.64,939.3,948.47,983.49,629.48,628.12
825.35,571.53,512.57,468.93,959.43,912.83,885.09,939.79,605.97,591.4
827.29,546.26,530.3,465.29,926.69,892.48,909.83,923.7,599.97,550.84
829.24,524.58,490.97,470.25,950.52,941.69,881.45,886.01,583.59,524.88
831.18,523.05,513.78,489.36,942.47,1005.69,915.86,903.94,589.71,548.41
833.13,455.68,500.75,504.28,956.88,1001.13,885.7,864.81,567.66,525.77
835.07,467.01,551.09,506.57,962.64,1034.23,938.88,877.85,568.67,565.51
837.01,445.39,558.47,516.23,1000.07,980.34,906.05,906.37,580.07,593.62
838.95,454.58,515.99,474.7,991.28,948.22,917,895.17,543.96,590.89
840.89,430.03,451.11,460.09,993.06,933.32,924.49,896.01,582.79,554.75
842.83,424.85,354.59,376.51,934.17,938.74,935.97,859,535.67,512.32
844.77,394.04,351.44,346.96,971.29,950.16,959.77,895.14,526.6,487.59
846.71,379.82,418.22,319,980.96,944.12,985.12,854.65,500.13,509.45
848.64,389.63,510.36,368.07,1055.29,966.07,990.45,869.96,544.7,515.34
850.58,419.03,495.76,405.06,1070.52,987.23,981.99,874.63,597.2,545.49
852.51,448.36,467.07,453.3,1120.62,1039.6,954.4,899.33,603.97,536.23
854.44,440.27,457.97,473.12,1133.28,1025.52,1015.68,923.72,560.66,562.88
856.37,475.77,445.12,550.18,1111.15,1021.96,996.83,907.8,583.61,566.12
858.31,528.19,458.19,553.17,1076.9,970.62,986.85,937.89,571.49,568.61
860.23,549.3,444.63,553.51,1028.97,912.92,934.18,915.1,565.74,552.46
862.16,582.23,485.2,574.98,1038.48,901.65,966.6,932.55,545.79,545.78
864.09,550.06,479.35,546.37,1058.53,894.9,991.22,896.34,520.1,533.34
866.02,528.37,475.64,479.23,1069,950.58,997.26,892.35,519.22,523.71
867.94,462.15,453.73,384.89,1040.91,912.02,957.38,842.59,479.48,489.53
869.87,435.52,431.07,399.79,918.69,885.32,869.7,781.84,471.99,425.94
871.79,396.13,364.99,371.27,813.67,765.81,700.54,707.07,439.08,370.58
873.71,336.87,319.7,355.21,699.08,761.06,602.8,654.53,381.64,374.35
875.64,242.31,252.78,269.17,671.46,626.6,534.03,569.09,327.89,354.81
877.56,208.77,238.21,278.82,591.5,619.46,524.23,495.41,303.5,336.27
879.48,194.69,179.77,204.93,503.95,452.72,435.84,399.28,238.9,228.87
881.39,157.08,142.13,163.5,380.49,446.74,343.2,338.36,181.44,193.25
883.31,82.94,72.48,70.58,305.11,300.16,288.29,258.64,76.41,99.42
885.23,29.49,38.45,35.96,187.38,272.89,240.36,188.01,39.76,59.13
887.14,13.82,0,7.32,108.51,162.8,186.94,147.7,2.37,6.74
889.06,21.29,0,14.25,64.94,161.68,116.16,117.8,2.37,23.5
890.97,10.51,0,6.93,127.46,90.72,107.11,112.1,0,39.18
892.88,10.51,0,6.93,121.84,63.28,81.58,122.7,0,59.09
894.8,0,21.18,11.06,86.84,40.49,94.79,145.83,0,72.97
896.71,20.93,28.12,11.06,42.49,66.8,39.16,158.59,8.75,57.29
898.62,38.79,50.98,35.05,80.43,138.08,48.52,214.43,47.34,76.07
900.52,38.79,100.51,32.44,123.13,172.4,52.5,258.67,93.39,55.18
902.43,19.72,100.73,34.29,124.35,204.34,116.13,298.99,135.4,58.43
904.34,19.44,82.74,46.48,123.64,211.69,134.47,254.49,150.52,48.32
906.24,63.68,19.53,56.46,162.34,219.78,157.22,231.83,112.76,51.66
908.15,111.1,42.23,93.35,130.99,220.05,131.81,207.12,90.56,98.22
910.05,107.75,90.84,88.79,150.06,189.16,158.91,256.04,41.92,69.64
911.95,96.75,106.45,109.58,155.1,179.56,176.64,293.68,90.61,108.41
913.86,105.09,101.41,109.05,203,207.26,215.32,302.38,106.97,68.18
915.76,90.86,64.15,79.3,191.41,194.02,200.41,192.51,111.78,94.08
917.66,85,42.91,57.9,137.77,176.07,168.44,103.1,54.8,35.47
919.55,44.83,18.1,19.7,100.1,142.74,142.44,39.08,33.27,25.9
921.45,44.83,1.88,17.82,83.39,141.7,181.38,47.19,33.74,0
923.35,17.44,0,15.55,50.58,86.35,166.06,24.82,38.43,14.77
925.24,0,0,28.87,92.34,36.44,115.8,8.11,74.78,14.77
927.14,0,0,28.87,71.29,2.98,27.46,0,64.42,14.77
929.03,0,0,13.32,71.29,2.98,0.64,0,59.73,0
930.92,0,0,0,19.29,0,0,1.89,0,0
932.81,0,0,0,0,0,0,1.89,0,0
934.7,0,0,0,0,0,0,1.89,0,0
936.59,0,0,0,0,0,0,0,0,0
938.48,0,0,0,0,0,0,0,0,0
940.37,0,0,0,0,0,0,0,0,0
942.25,0,0,0,0,0,0,0,0,0
944.14,0,0,0,0,0,0,0,0,0
946.02,0,0,0,0,0,0,0,0,0
947.91,0,0,0,0,0,0,0,0,0
949.79,0,0,0,0,0,0,0,0,0
951.67,0,0,0,0,0,0,0,0,0
953.55,0,0,0,0,0,0,0,0,0
955.43,0,0,0,0,0,0,0,0,0
957.31,0,0,0,0,0,0,0,0,0
959.18,0,0,0,0,0,0,0,0,0
961.06,0,0,0,0,0,0,0,0,0
962.94,0,0,0,0,0,0,0,0,0
964.81,0,0,0,0,0,0,0,0,0
966.68,0,0,0,0,0,0,0,0,0
968.55,0,0,0,0,0,0,0,0,0
970.43,0,0,0,0,0,0,0,0,0
972.3,0,0,0,0,0,0,0,0,0
974.16,0,0,0,0,0,0,0,0,0
976.03,0,0,0,0,0,0,0,0,0
977.9,0,0,0,0,0,0,0,0,0
979.76,0,0,0,0,0,0,0,0,0
981.63,0,0,0,0,0,0,0,0,0
983.49,0,0,0,11.57,0,3.2,0,0,0
985.36,0,0,0,49.48,57.91,95.68,0,0,0
987.22,0,0,0,49.48,57.91,142.01,0,0,0
989.08,0,0,0,97.43,102.89,233.46,0,0,0
990.94,0,0,0,128.33,143.32,263.2,0,0,0
992.8,8.46,0,0.26,330.01,291.91,435.9,19.75,22.52,47.57
994.66,37.73,23.06,43.9,525.39,505.47,618.44,150.84,180.78,220.5
996.51,215.97,167.05,190.73,954.5,866.76,932.71,497.42,526.91,573.28
998.37,494.98,473.23,452.76,1352.02,1336.78,1305.05,1040.66,1094.97,1100.92
1000.22,796.32,767.81,766.44,1746.5,1694.76,1664.01,1559.57,1623,1572.19
1002.08,910.1,927.17,889.23,1729.71,1726.48,1719.38,1740.59,1863.77,1792.87
1003.93,810.77,766.07,775.91,1383.11,1351.37,1347.92,1514.49,1634.41,1624.41
1005.78,526.77,456.98,435.92,745.46,734.85,715.75,934.05,1073.68,1134.58
