wavenumber,PE 5ppm-1,PE 5ppm-2,PE 5ppm-3,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
376.82,1449.76,837.68,809.57,918.72,469.2,469.66,247.05,275.66,191.52,502.22,494.07,591.26,288.82,283.5,214.98
378.98,1454.85,890.48,827.15,945.95,475.22,462.38,240.57,240.38,233.07,529.34,521.3,553.64,260.82,242.76,203.44
381.15,1465.41,928.3,854.07,980.86,473.48,463,238.19,229.52,273.71,514.9,541.66,547.79,241.81,236.35,222.58
383.32,1455.8,930.42,903.61,996.38,508.21,482.06,239.22,239.75,287.43,559.9,544.13,525.38,222.41,219.55,217.35
385.48,1441.79,935.29,931.88,999.97,531.51,498.68,233.12,252.18,284.01,528.12,504.17,532.53,203.41,223.16,222.87
387.64,1469.04,921.91,958.21,1007.95,576.07,529.53,244.22,265.13,271.12,569.55,500.1,551.89,214.46,218.49,208.8
389.8,1504.89,961.29,971.28,1047,590.54,566.29,253.85,266.61,256.75,557.53,511.26,563.14,235.23,247.56,224.47
391.96,1519.45,959.19,1008.53,1075.9,613.05,570.06,256.45,247.73,241.68,514.18,530.1,544.72,270.18,253.8,241.68
394.12,1486.93,961.52,1042.84,1091.86,612.81,583.41,252.25,219.71,242.47,500.7,504.49,484.17,276.52,261.11,270.96
396.28,1415.57,914.82,1042.11,1075.11,595.06,583.88,225.47,192.1,228.34,435.66,445.01,427.73,252.48,255.72,263.89
398.44,1374.79,888.21,1028.46,1052.1,579.57,588.27,241.55,187.36,221.74,454.17,421.07,410.17,232.16,230.39,256.56
400.6,1305.05,864.13,937.65,977.94,566.79,565.36,211.93,186.58,193.77,396.67,359.15,400.27,199.02,188.24,201.1
402.75,1240.13,803.37,863.13,930.41,551.16,528.58,204.07,200.88,191.21,367.27,331.33,376.81,192.84,143.39,161.94
404.91,1183.35,740.25,756.25,861.51,524.03,492.95,157.62,192.94,188.73,315.31,307.96,336.11,147.28,121.5,137.1
407.06,1108.71,645.44,661.33,803.9,448.39,443.46,126.26,164.4,178.67,243.11,271.7,290.18,105.67,88.23,125.9
409.21,1026.89,563.95,551.37,702.93,388.92,406.12,83.31,100.28,158.35,187.34,186.22,230.02,71.02,62.6,89.7
411.36,907.54,483.44,458.37,630.58,293.28,340.26,53.78,69.91,120.1,127.34,97.52,151.96,64,47.6,60.12
413.51,821,417.58,420.68,572.87,260.48,298.89,37.66,78.61,97.61,87.11,75.59,120.33,78.93,62.23,74.19
415.66,749.49,350.25,358.51,520.35,189.06,249.56,51.85,99.95,81.41,66.86,96.66,121.69,107.72,65.06,118.09
417.81,684.12,255.92,275.3,426.47,138.83,198.07,49.12,104.04,72.29,52.71,99.51,115.81,113.13,54.84,113.67
419.96,591.45,153.12,173.96,358.78,75.99,140.95,53.7,70.76,43.8,41.72,78.02,72.92,106.4,37.83,63.12
422.11,510.69,67.35,84.36,277.17,35.44,72.44,47.46,47,23.17,19.37,51.74,35.76,67.07,21.19,24.34
424.25,430.85,18.45,32.95,234.64,24.18,42.88,38.09,26.76,6.16,0,30.22,19.71,42.49,12.94,12.98
426.4,378.03,0,0.3,199.64,9.26,12.4,31.69,39.83,13.68,0,16.45,0,32.1,0,10.11
428.54,318.23,0,0,177.84,8.62,10.41,13.88,37.86,10.88,0,0,0,21.8,0,18.5
430.68,269.24,0,0,132.35,0,0,7.94,33.88,10.88,0,0,0,24.9,0,13.51
432.82,238.05,0,0,95.5,0,0,0,14.73,5.18,0,0,0,8.97,0,13.91
434.97,190.89,0,0,56.85,0,0,0,6,5.18,0,0,0,8.97,0,0.41
437.11,128.74,0,0,48.73,0,0,0,6,5.18,0,0,0,1.79,0,0.41
439.24,47.78,0,0,12.66,0,0,0,0,0,0,0,0,0,0,0
441.38,6.46,0,0,12.66,0,0,0,0,0,0,0,0,0,0,0
443.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0
502.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0
505.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0
507.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0
519.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0
521.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0
523.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528.16,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0
530.25,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0
532.35,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0
534.44,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0
536.53,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0
538.62,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0
540.71,0,0,0,0,0,0,20.05,0,0,0,0,0,0,0,0
542.8,0,0,0,0,0,0,0,0,0,0,0,0,15.83,0,0
544.89,0,0,0,0.36,0,0,0,0,0,0,0,0,69.71,44.63,62.01
546.98,0,0,0,17.33,0,0,5.46,0,0,0,4.76,0,139.39,110.05,144.8
549.06,0,0,0,17.33,0,0,5.46,0,0,24.73,4.76,0,204.13,159.68,225.79
551.15,0,0,0,16.97,3.86,0,5.46,0,0,24.73,4.76,0,227.78,149.31,220.39
553.23,0,0,0,0,3.86,0,0,0,0,24.73,0,0,215.9,128.74,183.47
555.32,0,0,0,0,3.86,0,0,0,0,0,0,0,155.94,98.09,102.48
557.4,0,0,0,0,0,0,0,0,0,0,0,0,80.68,64.47,45.87
559.48,0,0,0,0,0,0,0,0,0,0,0,0,26.77,19.61,0
561.56,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0.63,0
563.64,0,0,0,0,0,0,0,0,0,0,0,0,17.27,0,0
565.72,0,0,0,0,0,0,0,4.4,0,0,0,0,34.79,0.77,0
567.8,0,0,0,0,0,0,0,4.4,0,0,0,0,28.84,0.77,0
569.87,0,0,0,0,0,0,0,4.4,0,0,0,0,21.42,0.77,0
571.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02
602.95,0,0,0,0,0,0,0,0,0,0,0,0,15.06,0,14.08
605.01,0,0,0,0,0,0,0,0,0,0,0,0,15.06,0,14.08
607.07,0,0,0,0,0,0,0,0,0,0,0,0,15.06,1.57,8.06
609.13,0,0,0,0,0,0,0,0,0,0,0,0,42.64,29.99,23.07
611.18,0,0,0,0,0,0,0,0,0,6.87,0,0,71.99,65.47,60.89
613.24,0,0,0,0,0,0,0,1.97,0,6.87,11.35,8.78,113.92,113.29,116.32
615.29,0,0,0,0,0,0,0,1.97,0,6.87,23.55,9.65,127.98,108.39,135.49
617.35,0,0,0,0,0,0,1.57,1.97,0,0.82,50.15,9.65,136.65,94.1,133.94
619.4,0,0,0,0,0,0,1.57,0,0,17.27,38.8,0.87,137.93,72.41,110
621.45,0.55,0,0,0,0,0,1.57,0,0,24.91,46.32,0,101.48,93.01,99
623.5,0.55,0,0,0,0,0,0,0,0,24.69,19.72,0,63.46,71.83,62.74
625.55,0.55,0,0,0,0,0,0,0,0,8.24,19.72,3.89,26.23,44.11,31.25
627.6,1.75,0,0,0,0,0,5.34,0,0,15.99,0,11.39,5.98,12.76,6.31
629.64,1.75,14.22,0,0,0,0,5.34,0,0,24.06,0,27.06,11.93,30.97,6.31
631.69,25.91,39.74,10.98,14.6,13.08,2.55,5.34,0,3.34,39.88,3.5,23.21,11.2,30.97,10.1
633.73,57.52,86.43,46.95,22.91,13.08,11.13,5.15,5.98,3.34,72.36,53.02,32.67,32.95,39.9,34.46
635.78,83.85,129.83,71.98,22.91,13.08,47.16,5.15,5.98,3.34,132.38,96.69,76.01,42.67,58.67,60.1
637.82,139.76,209.61,114.54,56.32,53.09,85.51,29.13,35.83,28.74,169.16,148.77,137.78,106.12,121.02,120.02
639.86,150.33,240.01,134.04,92.01,93.25,116.11,23.98,37.61,47.94,198.26,160.17,170.21,135.52,146.47,146.89
641.9,173.66,270.13,195.26,117.88,123.01,116.42,37.63,64.85,66.12,198.12,169,191.39,196.31,183.31,170.16
643.94,156.87,266.42,225.33,95.81,136.46,132.19,29.29,53.24,53.77,226.53,168.04,185.12,187.94,178.99,156.94
645.98,170.95,277.22,236.89,86.92,123.73,140.79,47.36,68.48,49.28,175.81,157.63,177.06,185.07,158.52,126.56
648.02,176.69,241.96,197.4,72.32,121.92,127.3,33.71,42.7,47.09,134.74,125.2,147.98,108.61,84.7,77.65
650.06,164.41,218.98,172.53,46.38,84.04,99.42,31.52,33.89,48.21,60,70.59,98.56,48.28,26.67,27.16
652.09,129.67,193.51,156.83,26.58,84.65,75.68,21.85,10.87,42.19,33.75,31.7,57.23,0,0,0
654.13,128.03,205.1,184.19,15.31,74.96,73.31,29.09,13.99,26.19,37.98,34.57,6.12,0,0,0
656.16,119.71,204.97,217.84,15.31,90.87,87.21,18.14,10.75,30.22,81.53,57.96,14.99,0,0,0
658.2,130.71,216.8,259.11,7.17,73.71,88.71,15.17,18.54,52.22,116.45,46.33,14.99,0,0,0
660.23,123.81,244.68,290.43,7.17,65.6,92.92,19.62,21.68,75.04,90.42,25.63,14.99,0,0,0
662.26,156.44,279.08,296.27,38.15,77.31,85.62,30.59,25.01,80.65,60.6,12.47,10.17,0.36,0,0
664.29,189.51,324.87,311.51,43,93.41,104.03,25.16,36.43,75.02,33.89,30.89,31.1,30.21,25.09,14.21
666.32,213.46,326.17,320.92,48.5,125.66,111.6,32.42,41.37,76.92,51.05,60.72,76.89,75.65,54.46,37.73
668.34,227.94,323.31,326.51,36.06,109.41,113.67,30.21,48.17,61.67,64.09,57.09,85.93,84.85,81.97,54.43
670.37,222.41,286.41,303.05,24.03,108.43,103.34,34.79,28.97,36.62,55.89,38.66,65,54.99,56.88,40.22
672.4,192.76,257.02,264.45,21.74,82.94,81.5,15.85,16.32,11.92,52.47,6.6,19.21,9.56,27.51,17.72
674.42,165.53,261.7,284.9,3.21,68.84,76.06,4.59,1.36,4.26,19.43,19.61,20.22,0,22.32,26.64
676.45,172.85,270.55,289.21,3.39,88.24,64.44,4.16,5.24,10.91,37.56,32.97,40.4,1.26,33.97,45.6
678.47,200.38,303.26,323.7,25.21,102.48,79.66,11.5,13.62,18.29,46.01,32.97,80.21,9.15,52.25,69.89
680.49,212.67,286.69,289.92,25.21,116.77,88.27,15,12.26,14.78,54.95,13.36,59.99,9.15,29.93,44.28
682.51,188.39,283.2,276.88,25.03,95.45,104.94,10.84,8.38,8.12,36.81,4.35,39.81,7.88,18.28,25.31
684.53,211.09,292.33,242.47,9.65,93.41,130.22,13.09,0,10.01,48.13,36.1,0,21.1,17.58,35.04
686.55,218.45,284.08,237.68,12.78,71.66,132.45,9.59,29.09,24.2,82.77,43.25,28.74,57.44,37.75,66.37
688.57,235.91,284.58,239.3,14.94,51.29,120.41,9.59,29.09,24.2,83.64,73.01,47.31,61.9,42.4,66.37
690.58,211.46,285.48,238.33,39.02,52.33,88.09,0,45.42,17.9,56.16,67.21,117.28,55.57,47.48,31.33
692.6,216.34,305.67,232.66,37.07,58.98,62.73,8.78,16.33,2.96,32,60.06,95.13,19.23,27.31,6.82
694.61,239.98,297.94,221.39,34.91,69.03,61.1,8.78,29.87,7.9,40.29,25.95,99.42,14.78,22.66,6.82
696.63,206.71,290.95,208.86,16.13,66.15,55.54,8.78,23.73,9.08,40.02,5.36,29.45,0,0,6.82
698.64,190.99,279.14,215.53,41.54,69.44,38.06,7.87,36.55,22.09,35.64,43.35,32.4,0,0,0
700.65,187.81,298.85,262.71,48.11,114.58,52.52,15.38,31.8,17.15,61.81,67.61,49.23,0,10.03,16.1
702.66,230.95,282.52,305.52,47.69,130.34,74.27,20.86,34.35,13,104.97,98.13,67.76,22.72,14.46,16.96
704.67,270.19,277.27,299.75,49.36,136.84,103.19,12.99,21.53,0.65,116.25,103.09,92.37,22.72,19.06,16.96
706.68,257.52,264.1,262.05,56.11,78.4,96.42,5.48,12.74,0.65,80.92,87.5,80.43,22.72,9.03,0.87
708.69,230.4,288.78,229.21,56.07,65.16,82.83,0,14.33,11.96,77.53,97.13,73.03,0,4.6,0
710.69,193.27,279.09,234.34,27.8,50.53,53.9,0,14.33,11.31,51.21,62.43,46.97,0,0,0
712.7,171.23,282.15,248.22,14.48,62.65,53.02,0,14.33,11.31,89.3,61.83,90.36,0,0,0
714.7,159.51,247.17,241.73,0.81,59.4,34.43,0,0,0,38.09,23.24,112.08,0,0,0
716.71,149.12,248.17,234.55,11.64,58.12,43.1,0.85,0,0,77.4,38.32,155.8,0,0,0
718.71,142.93,245.68,223.89,21.82,69.68,13.66,0.85,0,0,39.31,37.29,102.41,0,0,0
720.71,157.73,243.83,253.21,23.31,70.55,16.53,0.85,0,0,58.18,73.93,107.02,0,0,0
722.71,157.52,253.29,272.16,12.48,77.72,10.69,1.35,2.06,0,54.12,66.23,101.63,0,7.16,11.26
724.71,192.41,272.49,308.87,44.04,112.63,46.61,8.82,14.21,15.99,65.55,102.66,128.7,17.02,35.19,39.75
726.71,220.39,305.11,302.99,79.69,119.96,86.61,12.18,17.22,29.07,55.39,84.86,109.54,25.64,38.18,43.23
728.71,240.37,316.03,299.42,99.96,148.59,102.24,10.83,17.79,29.07,20.13,73.4,74.72,25.64,31.02,31.97
730.7,252,296.92,269.49,102.91,101.53,97.85,9.14,5.65,16.67,45.64,55.95,30.24,8.62,2.99,6.94
732.7,244.83,252.68,259.09,64.96,75.32,52.36,5.78,5.4,3.59,36.94,38.72,11.93,0,0,3.46
734.69,220.11,238.51,224.44,58.21,60.2,52.24,11.07,2.76,3.59,43.56,36.61,0.33,0,0,3.46
736.69,200.81,213.77,204.21,56.22,64.84,18.36,5.29,5.74,0,18.2,26.29,0,0,0,0
738.68,168.95,228.44,168.74,58.77,75.56,41.38,5.29,3.77,0,32.74,20.08,18.16,0,0,0
740.67,159.96,198.98,175.47,45.25,58.8,38.31,9.96,3.77,0,26.12,24.1,18.16,0,0,0
742.66,109.18,184.38,149.07,2.55,42.17,42.63,9.96,0.79,0,14.54,8.41,18.16,0,0,0
744.65,98.29,161.31,138.53,8.62,55.15,19.61,9.96,0,0,0,6.08,0,0,0,0
746.64,87.93,150.44,104.19,8.62,38,4.32,10.24,3.21,0,0,0,0,0,0,0
748.63,94.01,161.99,112.95,43.89,47.02,12.28,12.3,4.21,0,0,0,0,0,0,0
750.61,72.64,183.4,129.57,49.47,22.83,12.28,12.3,4.21,0,0,0,0,0,0,0.71
752.6,59.59,195.13,159.84,71.16,34.95,53.24,10.19,1.66,0,0,3.2,0,23,11.42,0.71
754.58,75.08,193.72,183.31,57.95,50.28,88.26,8.13,2.64,0,0,3.2,0,26.42,11.42,0.71
756.57,91.89,198.29,224.44,75.05,87.92,115.44,17.54,9.82,0,0,3.2,0,40.46,11.42,0
758.55,100.81,212.95,218.32,85.6,104.99,95.87,9.41,9.21,0,0,0,0,17.46,0,0
760.53,102.16,239.04,253.96,113.91,144.82,80.06,27.18,27.36,21.38,8.38,0,0,30.22,12.37,9.69
762.51,96.28,227.54,215.37,112.33,136.08,71.02,17.77,20.17,21.38,8.98,0,0,16.74,17.17,9.69
764.49,96.61,180.25,190.64,96.62,115.89,65.52,17.77,20.13,21.38,8.98,0,0,16.74,17.17,9.69
766.47,84.71,156.39,139.68,71.35,73.45,37.79,0,0,0,2.65,8.02,0,0.57,4.79,0
768.45,82.8,137.51,143.37,53.41,55.01,19.66,0,0,0,33,48.29,30.29,0,0,0
770.42,59.1,163.83,202.27,41.69,67.78,43.46,7.1,0,0,50.53,79.14,32.04,0,0,0
772.4,53.83,150.58,220.27,39.4,62.31,61.7,7.1,0.49,0,83.91,108.56,92.27,0,0,0
774.37,103.23,197.98,265.92,42.44,70.83,94.33,22.18,11.58,15.47,110.97,130.67,144.34,4.18,1.92,26.07
776.34,148.84,215.25,245.77,56.7,66.57,81.12,24.01,15.15,28.35,142.94,142.67,184.99,4.18,16.13,26.07
778.32,165.77,250.5,246.29,44.96,76.63,88.56,30.92,22.49,40.08,161.59,166.69,193.32,46.99,25.07,37.54
780.29,158.14,230.85,248.9,83.32,107.79,90.44,49.17,31.92,60.63,144.36,167.51,170.78,55.76,44.26,38.8
782.26,163.72,219.07,273.39,114.57,125.51,92.54,68.96,61.89,58.72,169.38,210.23,162.47,80.19,48.67,65.98
784.23,207.63,249.28,305.86,153.81,151.21,112.64,90.41,102.18,66.14,183.75,227.98,149.52,53.16,85.07,65.78
786.19,218.41,249.36,309.55,148.94,132.47,108.95,100.73,132.34,67.09,220.69,265.96,179.81,73.02,87.35,70.46
788.16,253.08,264.32,329.46,152.63,162.95,153.15,114.94,147.38,98.26,247.54,282.51,227.67,80.1,107.18,93.02
790.13,253.41,217.27,296.02,157.31,156.42,164.35,145.13,158.4,123.09,268.74,333.08,262.56,70.17,106.34,123.9
792.09,258.06,208.53,281.57,159.66,180.88,185.88,150.31,172.08,137.9,299.29,341.01,265.13,81.23,114.83,141.45
794.06,227.16,190.9,215.55,148.12,167.46,145.53,153.92,195.86,149.15,299.31,335.07,273.83,60.41,100.42,117.1
796.02,212.35,195.36,228.64,160.36,169.81,128.61,159.64,205.4,157.16,299.12,291.92,287.33,73.69,82.13,106.19
797.98,202.09,184.03,195.61,158.15,145.05,121.26,177.56,203.15,154.73,288.18,249.69,272.41,35.52,50.24,61.83
799.94,220.94,202.14,252.36,218.06,157.07,171.02,213.59,214.67,168.39,286.38,255.26,269.28,54.46,74.27,99.91
801.9,224.45,216.57,240.76,192.96,175.76,158.78,211.61,217.17,179.71,290.93,258.51,229.18,63.06,99.3,108.65
803.86,236.39,274.77,299.93,235.98,224.22,218.32,228.06,253.78,237.47,293.94,314.56,274.55,129.78,173.57,150.17
805.82,253,318.62,305.43,229.34,233.02,228.2,231.5,271.04,252.21,277.65,320.97,300.61,156.82,188.04,153.02
807.78,281.93,345.47,359.93,308.03,259.15,280.75,270.93,296.62,295.29,293.71,364.74,373.02,185.87,189.51,187.2
809.73,281.08,350.19,348.98,322.62,273.18,291.87,288.25,332.75,275.58,326.68,354.42,340.02,151.8,181.19,206.6
811.69,298.12,355.13,372.58,302.1,286.1,326.21,314.44,338.75,301.41,332.24,347.35,343.93,138.62,179.44,191.22
813.64,335.48,385.4,431.51,298.58,329.36,376.89,337.29,384.08,349.24,383.16,352.97,368.2,154.78,208.01,192.17
815.6,352.39,407.88,449.99,316.29,370.17,385.81,376.36,381.29,385.28,365.98,419.5,417.71,194.83,214.15,207.01
817.55,367.07,403.79,460.91,388.45,411.11,384.51,392.86,402.6,405.09,419.62,488.5,449.7,248.65,250.39,248.3
819.5,337.31,418.93,445.39,373.17,411.6,388.44,392.91,393.46,402.12,441.83,549.75,473.94,287.37,275.53,284.8
821.45,377.31,454.5,489.31,415,385.22,407.82,377.74,388.08,394.26,511.86,552.81,504.65,328.86,329.45,292.09
823.4,375.54,488.62,501.45,362.07,362.73,419.44,349.77,397.92,377.61,495.79,548.12,490.94,306.92,315.26,297.93
825.35,375.65,500.62,482.81,380.36,365.14,415.29,311.03,374.3,343.51,413.65,471.01,440.15,257.86,292.62,271.66
827.29,364.09,482.96,456.17,323.67,393.89,441.15,316.27,380.68,372.4,379.2,456.93,445.73,237.48,256.99,300.73
829.24,332.97,447.4,464.65,324.75,407.1,456.47,303.62,356.5,379.4,388.89,432.32,422.11,216.88,249.14,285.24
831.18,352.18,450.5,470.12,294.18,394.31,480.47,319.64,369.97,411.73,444.95,459.41,447.52,247.62,264.97,303.42
833.13,367.05,419.27,462.59,283.62,350.87,482.48,278.31,335.77,397.72,418.36,409.86,411.96,233.69,256.46,302.27
835.07,398.48,446.25,411.96,319.62,310,468.06,283.53,321.78,377.6,414.37,374.56,445.66,244.99,256.18,308.69
837.01,414.79,437.79,405.54,352.86,317.36,479.88,302.64,324.35,347.02,386.29,358.18,413.61,242.19,258.8,327.99
838.95,385.76,441.99,419.8,378.77,330.06,445.38,295.74,343.9,337.45,380.25,366.17,385.59,247.39,238.75,322.3
840.89,395.18,433.97,444.51,364.8,382.23,450.68,305.62,351.23,348.31,375.02,397.31,392.39,263.38,236.16,339.72
842.83,362.82,402.17,450.44,362.4,373.63,419.55,285.38,340.78,351.39,349.38,374.02,423.44,279.6,234.46,315.04
844.77,399.67,419.59,459.59,373.57,414.26,407.99,330.36,355.21,334.03,337.32,363.33,440.07,324.38,264.33,326.92
846.71,404.97,420.46,485.53,370.86,452.36,406.56,353.78,379.41,358.11,354.08,356.45,423.86,379.28,283.64,337.59
848.64,448.16,469.21,502.36,396.05,481.69,443.03,407.75,402.49,372.41,420.43,398.83,444.23,400.08,291.86,350.81
850.58,467.79,488.08,528.64,397.36,483.49,459.97,415.16,397.02,404.81,456.92,433.02,447.76,369.32,278.86,309.82
852.51,469.2,509.06,562.03,441.47,480.08,451.04,431.35,449.65,412.99,484.23,481.69,481.09,328.03,276.98,297.95
854.44,505.38,492.48,592.21,458.03,507.46,430.25,429.97,487.39,432.95,460.35,508.17,471.91,283.19,239.88,272.53
856.37,543.34,509.01,637.84,476.38,502.31,453.91,438.05,525.57,453.02,504.95,508.46,495.87,256.8,228.58,282.9
